ÇTableNameÇ|ÇColumnNameÇ|ÇDescriptionÇ
Çlifescalex_DateDimÇ|ÇCalendarYearOffset_XÇ|ÇOffset of the Calendar Year from the current dateÇ
Çlifescalex_DateDimÇ|ÇDateKeyÇ|ÇSurrogate key used to uniquely identify the record. The value is the combination of the four-digit year from 0001 to 9999, the two-digit month from 01 to 12, and the two-digit day from 01 to 31.Ç
Çlifescalex_DateDimÇ|ÇDateValueÇ|ÇValue in date formatÇ
Çlifescalex_DateDimÇ|ÇDayOfMonthÇ|ÇNumber of the day of the month for the date from 1 to 31Ç
Çlifescalex_DateDimÇ|ÇDayOfWeekÇ|ÇName of the day of the weekÇ
Çlifescalex_DateDimÇ|ÇDayOfWeekAbbreviationÇ|ÇAbbreviated name of the day of the weekÇ
Çlifescalex_DateDimÇ|ÇDayOfYearÇ|ÇNumber of the day of the year for the date from 1 to 366Ç
Çlifescalex_DateDimÇ|ÇDisplayStringÇ|ÇDisplay string for the date formatted by the configuration settingsÇ
Çlifescalex_DateDimÇ|ÇEpicDatÇ|ÇEpic contact date sequence number for the date. The value is 121,531 minus the number of days since December 31, 1840. This column will be NULL for dates earlier than December 31, 1840 and dates later than September 27, 2173.Ç
Çlifescalex_DateDimÇ|ÇEpicDteÇ|ÇNumber of days since December 31, 1840 for the date. This column will be NULL for dates earlier than December 31, 1840 and dates later than September 27, 2173.Ç
Çlifescalex_DateDimÇ|ÇEpicInstantAtMidnightÇ|ÇThe point in time for midnight of the date.  The value is the number of seconds since midnight on December 31, 1840. This column will be NULL for dates earlier than December 31, 1840.Ç
Çlifescalex_DateDimÇ|ÇFiscalIsoWeekNumber_XÇ|ÇNumber of the fiscal week since the beginning of the fiscal year for the date as defined by the International Organization for Standardization (ISO)Ç
Çlifescalex_DateDimÇ|ÇFiscalIsoWeekYear_XÇ|ÇString containing the concatenation of the two-digit fiscal week number, a space, and the four-digit fiscal year as defined by the International Organization for Standardization (ISO)Ç
Çlifescalex_DateDimÇ|ÇFiscalIsoYearWeek_XÇ|ÇString containing the concatenation of the four-digit fiscal year, a space, and the two-digit fiscal week number as defined by the International Organization for Standardization (ISO)Ç
Çlifescalex_DateDimÇ|ÇFiscalMonthÇ|ÇFiscal month of the year for the date from 1 to 12. This column will be NULL for fiscal dates that are earlier than January 1, 1753 or later than December 31, 9999.Ç
Çlifescalex_DateDimÇ|ÇFiscalMonthYear_XÇ|ÇFiscal Month and Year in "MM YYYY" formatÇ
Çlifescalex_DateDimÇ|ÇFiscalQuarterÇ|ÇFiscal quarter of the year for the date from 1 to 4. This column will be NULL for fiscal dates that are earlier than January 1, 1753 or later than December 31, 9999.Ç
