«TableName«|«ColumnName«|«Description«
«lifescalex_DateDim«|«CalendarYearOffset_X«|«Offset of the Calendar Year from the current date«
«lifescalex_DateDim«|«DateKey«|«Surrogate key used to uniquely identify the record. The value is the combination of the four-digit year from 0001 to 9999, the two-digit month from 01 to 12, and the two-digit day from 01 to 31.«
«lifescalex_DateDim«|«DateValue«|«Value in date format«
«lifescalex_DateDim«|«DayOfMonth«|«Number of the day of the month for the date from 1 to 31«
«lifescalex_DateDim«|«DayOfWeek«|«Name of the day of the week«
«lifescalex_DateDim«|«DayOfWeekAbbreviation«|«Abbreviated name of the day of the week«
«lifescalex_DateDim«|«DayOfYear«|«Number of the day of the year for the date from 1 to 366«
«lifescalex_DateDim«|«DisplayString«|«Display string for the date formatted by the configuration settings«
«lifescalex_DateDim«|«EpicDat«|«Epic contact date sequence number for the date. The value is 121,531 minus the number of days since December 31, 1840. This column will be NULL for dates earlier than December 31, 1840 and dates later than September 27, 2173.«
«lifescalex_DateDim«|«EpicDte«|«Number of days since December 31, 1840 for the date. This column will be NULL for dates earlier than December 31, 1840 and dates later than September 27, 2173.«
«lifescalex_DateDim«|«EpicInstantAtMidnight«|«The point in time for midnight of the date.  The value is the number of seconds since midnight on December 31, 1840. This column will be NULL for dates earlier than December 31, 1840.«
«lifescalex_DateDim«|«FiscalIsoWeekNumber_X«|«Number of the fiscal week since the beginning of the fiscal year for the date as defined by the International Organization for Standardization (ISO)«
«lifescalex_DateDim«|«FiscalIsoWeekYear_X«|«String containing the concatenation of the two-digit fiscal week number, a space, and the four-digit fiscal year as defined by the International Organization for Standardization (ISO)«
«lifescalex_DateDim«|«FiscalIsoYearWeek_X«|«String containing the concatenation of the four-digit fiscal year, a space, and the two-digit fiscal week number as defined by the International Organization for Standardization (ISO)«
«lifescalex_DateDim«|«FiscalMonth«|«Fiscal month of the year for the date from 1 to 12. This column will be NULL for fiscal dates that are earlier than January 1, 1753 or later than December 31, 9999.«
«lifescalex_DateDim«|«FiscalMonthYear_X«|«Fiscal Month and Year in "MM YYYY" format«
«lifescalex_DateDim«|«FiscalQuarter«|«Fiscal quarter of the year for the date from 1 to 4. This column will be NULL for fiscal dates that are earlier than January 1, 1753 or later than December 31, 9999.«
«lifescalex_DateDim«|«FiscalWeekNumber_X«|«Number of the fiscal week since the beginning of the fiscal year for the date from 1 to 54«
«lifescalex_DateDim«|«FiscalWeekYear_X«|«String containing the concatenation of the two-digit fiscal week number, a space, and the four-digit fiscal year«
«lifescalex_DateDim«|«FiscalYear«|«Fiscal year for the date from 1753 to 9999. This column will be NULL for fiscal dates that are earlier than January 1, 1753 or later than December 31, 9999.«
«lifescalex_DateDim«|«FiscalYearEndDate_X«|«Last Day of the Fiscal Year«
«lifescalex_DateDim«|«FiscalYearMonth_X«|«Fiscal Year and Month in "YYYYMM" format«
«lifescalex_DateDim«|«FiscalYearOffset_X«|«Offset of the Fiscal Year from the current date«
«lifescalex_DateDim«|«FiscalYearStartDate_X«|«First Day of the Fiscal Year«
«lifescalex_DateDim«|«FiscalYearWeek_X«|«String containing the concatenation of the four-digit fiscal year, a space, and the two-digit fiscal week number«
«lifescalex_DateDim«|«FormattedFiscalLongQuarterYear_X«|«Fiscal Quarter and Year of the date in "Quarter N, YYYY" format«
«lifescalex_DateDim«|«FormattedFiscalShortQuarterYear_X«|«Fiscal Quarter and Year of the date in "Qtr N, YYYY" format«
«lifescalex_DateDim«|«FormattedLongQuarterYear_X«|«Quarter and Year of the date in "Quarter N, YYYY" format«
«lifescalex_DateDim«|«FormattedMonthYear«|«String containing the concatenation of the month name, a space, and the four-digit year«
«lifescalex_DateDim«|«FormattedQuarterNumber«|«String containing the concatenation of "Q" and the number of the quarter for the date«
«lifescalex_DateDim«|«FormattedQuarterYear«|«String containing the concatenation of the two-digit quarter (Q + quarter number), a space, and the four-digit year«
«lifescalex_DateDim«|«FormattedShortMonthYear_X«|«Month and Year of the date in "MMM YYYY" format.«
«lifescalex_DateDim«|«FormattedShortQuarterYear_X«|«Quarter and Year of the date in "Qtr N, YYYY" format«
«lifescalex_DateDim«|«IndexDayOfWeek«|«Number of the day of the week for the date from 1 to 7. The first day of the week is set in the configuration settings«
«lifescalex_DateDim«|«IsDayAfterHoliday«|«1/0 column that indicates whether the date is the day after a recognized holiday. This column returns 1 if the date is the day after a holiday and 0 if the date isn't a day after a holiday.«
«lifescalex_DateDim«|«IsDayBeforeHoliday«|«1/0 column that indicates whether the date is the day before a recognized holiday. This column returns 1 if the date is the day before a holiday and 0 if the date isn't a day before a holiday.«
«lifescalex_DateDim«|«IsHoliday«|«1/0 column that indicates whether the date is a recognized holiday. This column returns 1 if the date is a holiday and 0 if the date isn't a holiday. This column is based entirely on DATE_DIMENSION.HOLIDAY_YN in Clarity.«
